id： film6001 - 秦时明月之一舞倾城,秦时明月之一舞倾城,9.1,参评人数： 4954,类型： 剧情 动画 短片 历史 战争,制片国家:  中国大陆,语言:  普通话/国语,上映日期： 2010-03-25(中国大陆),片长： 37分钟,又名:  诸子百家新年特别版,导演: 沈乐平,编剧: 罗玉婷 沈磊,类型:,豆瓣链接：https://movie.douban.com/subject/4804209/,IMDb链接：,"简介： 
                                　　《秦时明月第三部诸子百家》新年特别篇【一舞倾城】是特别精选了正片中绚丽华美的雪女追忆故事剪辑而成。
                                     
                                　　《秦时明月》中雪女与高渐离的情感故事一直牵动着无数秦迷的心，最初的两人究竟是如何相识相知的？身为燕国银发雪姬的她又有着怎样不为人知的过往？这一切都将在本次的特别篇中为大家一一揭晓。就让我们伴随那唯美动听的旋律、清丽脱俗的舞姿，一同步入那段尘封的往事……
                        "
id： film6002 - 地狱无门 地獄無門,地狱无门 地獄無門,7.5,参评人数： 4748,类型： 喜剧 动作 惊悚 恐怖 奇幻 冒险 武侠,制片国家:  中国香港,语言:  粤语,上映日期： 1980-04-02,片长： Finland: 87 分钟(25 fps),又名:  杀出地狱门 / We're Going to Eat You,导演: 徐克,编剧: 司徒卓汉 徐克,主演: 徐少强 / 高雄 / 黄锦燊 / 胡大为 / 韩国材,豆瓣链接：https://movie.douban.com/subject/1296700/,IMDb链接： https://www.imdb.com/title/tt0080636,"简介： 
                                　　两名农夫搭木筏至一孤岛兜售鸡鸭，岛上气氛诡异，两人胆寒之下突遇一群面具人袭击，农夫一死一降，皆被岛上屠夫解体后当做食物分发给饥肠辘辘的岛民。原来此岛辖属大家乡，不知何时岛民开始以人肉为食，保安队负责维持治安与食物配给。
                                     
                                　　密探九九九（徐少强 饰）为追踪江洋大盗劳力士（黄锦燊 饰）与一自称“包铁胆”的蟊贼登岛，击倒岛上屠夫后九九九拜访大家乡保安队长（高雄 饰），队长将其引至屠场，九九九力战群凶后负伤逃脱，在一民女阿莲家调养之后向队长求证，然而一无所获。
                                     
                                　　先前劳力士选择大家乡任保安副队长，以求洗心革面，谁知事与愿违却做起了吃人的勾当，劳力士几次计划向岛外求援却全被破坏，这次向九九九报警仍不被理睬，无奈之下放出被囚的包铁胆，自己反被队长杀死。九九九又一次经历围攻而大难不死，他决定和包铁胆、阿莲姐弟一起逃离食人岛……
                        "
id： film6003 - 旅猫日记 旅猫リポート,旅猫日记 旅猫リポート,7.3,参评人数： 4898,类型： 剧情,制片国家:  日本,语言:  日语,上映日期： 2018-10-26(日本),片长： 118分钟,又名:  Tabineko Report / The Travelling Cat Chronicles,导演: 三木康一郎,编剧: 有川浩 平松惠美子,主演: 福士苍汰 / 高畑充希 / 广濑爱丽丝 / 大野拓朗 / 山本凉介 / 前野朋哉 / 竹内结子,豆瓣链接：https://movie.douban.com/subject/26992036/,IMDb链接： http://tabineko-movie.jp https://www.imdb.com/title/tt6622982,"简介： 
                                　　傲娇的流浪猫娜娜（幸运小七）被悟（福士苍汰饰）救下后，在铲屎官悟的侍候下过着快乐的猫生。一人一猫度过了几年的温暖时光，主人悟却突然有一天要将娜娜送走给他人寄养，没等娜娜反应，便被悟带着踏上旅程。穿过北海道，跨越富士山，探访故友，悟的那些不为人知的过去也都一一展现。直到最后，娜娜得知了为何悟要将自己送走的真相，却依旧对悟不离不弃。
                        "
id： film6004 - 合子异种 Zygote,合子异种 Zygote,7.7,参评人数： 5060,类型： 科幻 恐怖 短片,制片国家:  加拿大,语言:  英语,上映日期： 2017-07-12(加拿大),片长： 23分钟,又名:  燕麦工作室第一卷：合子异种 / Oats Studios Volume 1:Zygote,导演: 尼尔·布洛姆坎普,编剧: 尼尔·布洛姆坎普 托马斯·斯维特利希 特丽·塔歇尔,主演: 达科塔·范宁 / 何塞·巴勃罗·坎蒂略,豆瓣链接：https://movie.douban.com/subject/27080387/,IMDb链接： https://www.imdb.com/title/tt7078780,"简介： 
                                　　Stranded in an Arctic mine, two lone survivors are forced to fight for their lives, evading and hiding from a new kind of terror
                        "
id： film6005 - 怪胎与书呆 Freaks and Geeks,怪胎与书呆 Freaks and Geeks,9.2,参评人数： 5299,类型： 剧情 喜剧,制片国家:  美国,语言:  英语,上映日期： 1999-09-25(美国),片长：,又名:  呆子和怪胎 / 怪胎们,导演: 杰克·卡斯丹 贾德·阿帕图,编剧: 保罗·费格,主演: 琳达·卡德里尼 / 约翰·弗朗西斯·戴利 / 詹姆斯·弗兰科 / 马丁·斯塔尔 / 杰森·席格尔 / 塞斯·罗根 / 贝茜·菲利普斯,豆瓣链接：https://movie.douban.com/subject/1865139/,IMDb链接： https://www.imdb.com/title/tt0193676,"简介： 
                                　　故事背景为80年代的美国，底特律郊外一所私立高中里，有这么两种学生：怪胎和书呆。怪胎游手好闲、惹是生非，书呆懦弱无能，只会读书。Lindsay（琳达·卡德里尼 Linda Cardellini 饰）学习成绩拔尖，因为不想被划入“书呆”行列，她主动结识了几个“怪胎”，成为他们的朋友。她的弟弟Sam（约翰·弗朗西斯·达利 John Francis Daley 饰）是个不折不扣的书呆，不仅本人软弱无能，还交了一群同样怯懦的书呆朋友。
                                     
                                　　学校里形形色色的学生都要面对他们各自的成长烦恼，Lindsay每日要面对家庭和学校的双重管教，Sam每日要忍受学校小流氓的滋扰。这是一个真实的故事，一个关于成长的故事，叛逆的怪胎和怪异的书呆，他们的生活在每一个高中校园里上演，折射出每一个人的青春。
                        "
id： film6006 - 爱情是什么 Loves Me... Loves Me Not,爱情是什么 Loves Me... Loves Me Not,7.4,参评人数： 3889,类型： 动画 短片,制片国家:  英国,语言:  无对白,上映日期： 1995-08-17,片长：,又名:,导演: Jeff Newitt,编剧: Jeff Newitt,类型:,豆瓣链接：https://movie.douban.com/subject/1421774/,IMDb链接： https://www.imdb.com/title/tt0104768,"简介： 
                                　　动画短片，七分钟内诠释爱情。
                                     
                                　　随着一叶叶花瓣，爱情引领着沉浸其中的人疯狂，时而晴空万里，时而电闪雷鸣。爱情或许就是那种心潮澎湃的游戏，总是难以猜测下一秒的情节。
                                     
                                　　爱情是什么？爱我...不爱我...
                        "
id： film6007 - 捕梦网 Dreamcatcher,捕梦网 Dreamcatcher,6.3,参评人数： 4717,类型： 剧情 科幻 恐怖,制片国家:  美国,语言:  英语,上映日期： 2003-03-21(美国),片长： 136分钟,又名:  漏网之灵(港) / 劫梦惊魂 / 捉梦人,导演: 劳伦斯·卡斯丹,编剧: 斯蒂芬·金 威廉姆·高德曼 劳伦斯·卡斯丹,主演: 摩根·弗里曼 / 托马斯·简 / 杰森·李 / 戴米恩·路易斯 / 蒂莫西·奥利芬特 / 汤姆·塞兹摩尔 / 唐尼·沃尔伯格 / 里斯·汤普森 / 乔尔·帕尔默 / 埃里克·李塞德 / 萝丝玛丽·邓斯莫尔 / 迈克尔·奥尼尔 / 达林·克利梅克 / C.恩斯特·哈斯 / 英格丽德·卡维拉尔斯,豆瓣链接：https://movie.douban.com/subject/1305463/,IMDb链接： https://www.imdb.com/title/tt0285531,"简介： 
                                　　一个偏僻的小镇上，四个小男孩共同在一个废弃车站救了一个智障男孩，由此各自获得了神秘的能力。此后的25年里，四个人长大成人、各奔东西，但在每年的狩猎季节仍要重聚在缅因州的森林里度假，一起重温童年的快乐。又到了一年聚会的时候，四人到了森林，却被一场暴风雪困住，与此同时降临的还有一些来自外星的古怪生物，四个人逐渐了解到，外星生物想要对人类展开控制，而当地驻军的遏制方案是连同小镇所有人一起毁灭。四人果断参与进这起事件，开始寻找儿时的能力，试图打退外星人，拯救当地平民……
                        "
id： film6008 - 别惹德州 Hot Pursuit,别惹德州 Hot Pursuit,5.4,参评人数： 4864,类型： 喜剧 动作,制片国家:  美国,语言:  英语 / 西班牙语,上映日期： 2015-05-08(美国),片长： 87分钟,又名:  辣味双拼(台) / 火热追捕 / 热力追踪 / 追女狂想曲 / Don't Mess with Texas,导演: 安妮·弗莱彻,编剧: David Feeney 约翰·奎坦斯,主演: 瑞茜·威瑟斯彭 / 索菲娅·维加拉 / 迈克尔·莫斯利 / 马修·德尔·内格罗 / 约翰·卡洛·林奇 / 罗伯特·卡辛斯基 / 理查德·琼斯 / 华金·科西奥 / 吉姆·加菲根 / 迈克·比尔比利亚 / 维森特·拉雷斯卡 / 大卫·詹森 / 马克·库布尔,豆瓣链接：https://movie.douban.com/subject/25827399/,IMDb链接： http://hotpursuitmovie.com https://www.imdb.com/title/tt2967224,"简介： 
                                　　库珀（瑞茜·威瑟斯彭 Reese Witherspoon 饰）是一名拥有着超强正义感的火爆女警，在上司的安排下，她接受了一个艰巨的任务，那就是护送一位名为丹尼艾拉（索菲娅·维加拉 Sofia Vergara 饰）的金发美女前往达拉斯，在那里，安妮艾拉将会成为指证毒枭的重要证人。
                                     
                                　　让库珀没有想到的是，丹尼艾拉的个性和自己一样一点就着，一山容不得二虎，两个女人之间从见面一开始就充满了浓浓的火药味，这将注定不会是一段太平的旅途。更糟糕的是，库珀一行人刚刚出发没多久就遭到了黑帮分子的伏击，丹尼艾拉的丈夫里瓦先生（文森特·拉斯卡 Vincent Laresca 饰）更是在交火之中不幸丧生。作为仅剩的幸存者，库珀和丹尼艾拉该如何抵达目的地，完成她们的使命呢？
                        "
id： film6009 - 别有用心的单身女 앙큼한 돌싱녀,别有用心的单身女 앙큼한 돌싱녀,7.2,参评人数： 5344,类型： 剧情 爱情,制片国家:  韩国,语言:  韩语,上映日期： 2014-02-27(韩国),片长：,又名:  心怀叵测的恢单女 / Cunning Single Lady,导演: 高东善,编剧: 崔秀英 李荷娜,主演: 朱相昱 / 李珉廷 / 金明洙 / 徐康俊 / 金圭丽 / 黄宝罗 / 王光娜 / 李政吉 / 金容熙 / 瑜瑛,豆瓣链接：https://movie.douban.com/subject/25792809/,IMDb链接： http://www.imbc.com/broad/tv/drama/back/ https://www.imdb.com/title/tt3566838,"简介： 
                                　　罗爱拉（李珉廷 饰）和车正宇（朱相昱 饰）结婚多年，车正宇放弃了收入稳定的公务员工作，转而决心创业，却连连遭遇了失败，长此以往，害怕失去生活保障的罗爱拉最终决定同丈夫离婚。一晃眼三年过去，车正宇终于功成名就，成为了身价不菲的大财阀，得知此事的罗爱拉决定来到前夫公司工作。
                                     
                                　　车正宇的成功少不了国汝珍（金奎丽 饰）的帮助，国汝珍本以为自己和车正宇之家的恋情已是板上钉钉之事，没想到却半路杀出了个前妻罗爱拉。与此同时，国汝珍的弟弟国圣贤（徐康俊 饰）被迫来到公司上班，没想到被罗爱拉的真挚和奔放所吸引。车正宇本来对罗爱拉的抛弃心怀怨恨，却在相处的过程中渐渐旧情复燃。
                        "
id： film6011 - 现视研 げんしけん,现视研 げんしけん,8.2,参评人数： 4803,类型： 喜剧 动画,制片国家:  日本,语言:  日语 / 英语,上映日期： 2004-10-22(日本),片长：,又名:  Genshiken,导演: 池端隆史 水岛努 三瓶圣 三原武宪 平向智子 福本洁 殿胜秀树,编剧: 横手美智子 吉田玲子 高桥奈津子 小林靖子 池田真美子 中濑理香 平见瞠 木尾士目,主演: 大山镐则 / 斋贺光希 / 雪野五月 / 川澄绫子 / 水桥香织 / 桧山修之 / 乃村健次 / 关智一 / 石田彰 / 清水香里,豆瓣链接：https://movie.douban.com/subject/1457575/,IMDb链接： http://www.genshiken.info https://www.imdb.com/title/tt0473578,"简介： 
                                　　现视研。单看这三个字看不出所以然的名字其实是“现代视觉文化研究会”的简称。这个看似高深的社团其实是个研究动漫，宅男宅女聚集的小天地。大一新生笹原完士（大山镐则 配音）和高坂真琴（斋藤观月 配音）加入到了现视研，自此踏上了一去不复返的道路。一群性格各异的御宅族，在现视研，开始了他们的大学生活，一方面他们沉迷于二次元的欢乐之中；另一方面他们还得处理三次元的真实生活。在这部剧里，我们将看到御宅族的真实面目，他们并不千篇一律，不是我们想象中御宅族的惯有模样。在这部动画里，我们也许可以找到自己的影子。
                                     
                                　　本片改编自木尾士目的同名漫画。
                        "
id： film6012 - 少女特工队 D.E.B.S.,少女特工队 D.E.B.S.,6.2,参评人数： 4083,类型： 喜剧 动作 爱情,制片国家:  美国,语言:  英语,上映日期： 2004-01-22,片长： 91 分钟,又名:  高校女特务,导演: 安吉拉·罗宾森,编剧: 安吉拉·罗宾森,主演: 莎拉·福斯特 / 乔丹娜·布鲁斯特 / 戴文青木 / 吉尔·里奇 / 梅根·古德,豆瓣链接：https://movie.douban.com/subject/1309039/,IMDb链接： http://sonypictures.com/movies/d.e.b.s./ https://www.imdb.com/title/tt0367631,"简介： 
                                　　《少女特工队》是一部将一系列特工间谍片打乱后，再重新包装的青春动作片。
                                     
                                　　每一年高中生都需要经过SAT的考试，而政府通过这项测试暗中考验她们的特别天分。取得高分者会被征收进入一所秘密学园——D.E.B.S.。经过严格的培训后，四个集美貌和智慧于一身的女孩组成一支特工队。艾米（莎拉·福斯特 Sara Foster 饰）每项技能都取得高分，学院全优毕业；麦克丝（梅根·古德 Meagan Good 饰）暴脾气，但雷厉风行的作风深得队友爱戴；珍妮特（吉尔·里奇 Jill Ritchie 饰）容易害羞，说起谎来却有一套；多米妮克（戴文青木 Devon Aoki 饰）喜欢抽烟，总不缺男伴。这一次她们的任务是对付头号珠宝女贼露茜（乔丹娜·布鲁斯特 Jordana Brewster 饰）。艾米发现她并非传闻那么可怕，更在机缘巧合下爱上了这个女贼......
                        "
