id： film8001 - 今夕何夕2 World of Tomorrow Episode Two The Burden of Other Peoples Thoughts,今夕何夕2 World of Tomorrow Episode Two: The Burden of Other People's Thoughts,8.3,参评人数： 2623,类型： 喜剧 科幻 动画 短片,制片国家:  美国,语言:  英语,上映日期： 2017-10-20(美国),片长： 23分钟,又名:  今夕何夕第二章 / 明日世界2 / 未来世界2,导演: 唐·赫兹菲尔德,编剧: 唐·赫兹菲尔德,主演: 朱丽亚·波特 / 薇诺娜·梅,豆瓣链接：https://movie.douban.com/subject/27119473/,IMDb链接： https://www.imdb.com/title/tt7278178,"简介： 
                                　　续集依然延续第一部的世界设定，不同的是时间线更加随意，在同一时空下存在着更多个不同的克隆版“艾米丽”。由于技术故障，原本应该接替5号艾米丽的6号艾米丽无法获取“上一任艾米丽”的记忆，于是她干脆找到了仍是小孩子的初版艾米丽。她们在彼此的思维里游走，交换信息和想法。6号艾米丽装满了成年的记忆，她忧伤、成熟，是个十足的大人。而小艾米丽天马行空，自由烂漫。当两人再次相遇时，过去的6号艾米丽不见了，取而代之的是平和、快乐的6号艾米丽。
                                     
                                　　苦恼被放下，束缚被解除，那份小孩子天性里的好心态终于被保存了下来。或许重要的不是记忆的传承，而是赤子之心。
                        "
id： film8001 - 移民 The Immigrant,移民 The Immigrant,6.6,参评人数： 3195,类型： 剧情 爱情,制片国家:  美国 / 法国,语言:  英语 / 波兰语,上映日期： 2013-05-24(戛纳电影节) 2013-11-27(法国),片长： 119分钟,又名:  浮世伤痕(台) / 纽约风尘(港) / 夜莺 / 卑贱人生 / 下流人生 / Lowlife / Nightingale,导演: 詹姆斯·格雷,编剧: 詹姆斯·格雷 Ric Menello,主演: 玛丽昂·歌迪亚 / 华金·菲尼克斯 / 杰瑞米·雷纳 / 达格玛拉·多敏齐克 / 安吉拉·萨拉弗安 / 安东尼·科隆 / 迪伦·哈蒂根 / 加布里埃尔·拉什 / 马修·汉弗莱斯 / 凯文·坎农 / 詹姆斯·科尔比,豆瓣链接：https://movie.douban.com/subject/7051805/,IMDb链接： https://www.imdb.com/title/tt1951181,"简介： 
                                　　故事发生在1921一年，艾娃（玛丽昂·歌迪亚 Marion Cotillard 饰）和姐姐玛格达（安吉拉·萨拉弗安 Angela Sarafyan 饰）经受不住繁华都市的霓虹诱惑，启程从波兰前往纽约淘金。半路上，玛格达不幸患上了当时是不治之症的肺结核，因此而被医生隔离在了位于埃利斯岛上的医院之中，情同手足的姐妹两人就此分道扬镳。
                                     
                                　　来到纽约之后，艾娃才发现，这里的一切远不如幻想中的美好，她不幸的落入了皮条客布鲁诺（华金·菲尼克斯 Joaquin Phoenix 饰）的手中，成为了一名妓女。艾娃的生活中充满了伤痛和屈辱，能够再次和姐姐相见成为了她心中的唯一信念。一次偶然中，艾娃结识了名叫奥兰多（杰瑞米·雷纳 Jeremy Renner 饰）的魔术师，善良的奥兰多让艾娃明白，他可能是自己迈向新生活的唯一跳板。
                        "
id： film8002 - 犯罪现场调查 第十四季 CSI Crime Scene Investigation Season 14,犯罪现场调查 第十四季 CSI: Crime Scene Investigation Season 14,8.7,参评人数： 2985,类型： 剧情 悬疑 犯罪,制片国家:  美国,语言:  英语,上映日期： 2013-09-25(美国),片长：,又名:,导演: 阿莱克·斯迈特,编剧: 安东尼·E·祖克尔,主演: 特德·丹森 / 乔治·艾德斯 / 艾瑞克·兹曼达 / 罗伯特·大卫·豪尔 / 伊莉莎白·哈诺伊斯 / 保罗·吉尔福伊尔 / 乔雅·福克斯 / 华莱士·朗翰,豆瓣链接：https://movie.douban.com/subject/24700906/,IMDb链接： https://www.imdb.com/title/tt3096182,"简介： 
                                　　CSI的故事背景设在赌城拉斯维加斯，以真人真事改编，讲述刑事警察局的法庭犯罪调查员如何在作案现场取得证据破案的故事。调查员的名言是“死尸会说话”，他们利用指纹、鞋印、子弹壳、血迹、毛发、纤维、尸体伤痕等微小证据，经过仔细的分析研究后，寻得破案的关键。 解开谜团的过程颇有吸引力。
                        "
id： film8003 - 今夕何夕2 World of Tomorrow Episode Two The Burden of Other Peoples Thoughts,今夕何夕2 World of Tomorrow Episode Two: The Burden of Other People's Thoughts,8.3,参评人数： 2623,类型： 喜剧 科幻 动画 短片,制片国家:  美国,语言:  英语,上映日期： 2017-10-20(美国),片长： 23分钟,又名:  今夕何夕第二章 / 明日世界2 / 未来世界2,导演: 唐·赫兹菲尔德,编剧: 唐·赫兹菲尔德,主演: 朱丽亚·波特 / 薇诺娜·梅,豆瓣链接：https://movie.douban.com/subject/27119473/,IMDb链接： https://www.imdb.com/title/tt7278178,"简介： 
                                　　续集依然延续第一部的世界设定，不同的是时间线更加随意，在同一时空下存在着更多个不同的克隆版“艾米丽”。由于技术故障，原本应该接替5号艾米丽的6号艾米丽无法获取“上一任艾米丽”的记忆，于是她干脆找到了仍是小孩子的初版艾米丽。她们在彼此的思维里游走，交换信息和想法。6号艾米丽装满了成年的记忆，她忧伤、成熟，是个十足的大人。而小艾米丽天马行空，自由烂漫。当两人再次相遇时，过去的6号艾米丽不见了，取而代之的是平和、快乐的6号艾米丽。
                                     
                                　　苦恼被放下，束缚被解除，那份小孩子天性里的好心态终于被保存了下来。或许重要的不是记忆的传承，而是赤子之心。
                        "
id： film8004 - 鳄鱼藏尸日记 악어,鳄鱼藏尸日记 악어,7.5,参评人数： 2999,类型： 剧情,制片国家:  韩国,语言:  韩语,上映日期： 1996-11-16,片长： 100分钟,又名:  鳄鱼 / Crocodile,导演: 金基德,编剧: 金基德,主演: 赵宰贤 / 安宰弘,豆瓣链接：https://movie.douban.com/subject/1763628/,IMDb链接： https://www.imdb.com/title/tt0296492,"简介： 
                                　　在汉江一座桥的下面，生活着三个贫穷的流浪者：爷爷、小男孩以及年轻暴躁、无所顾忌的青年鳄鱼（赵在铉 饰）。鳄鱼凭借武力统治着这个三口之家，他没有正当工作，平时靠为警方指引溺水者的尸体、赌博、诈骗、做小买卖赚取日用。他不断挣扎，又不断遭受挫折，水底的小空间是他短暂的避难场所。这一日，鳄鱼解救了一个为情自杀的少女，但随后他便强行占有了这个女孩。男孩和爷爷敢怒不敢言，只得以各自的方式反抗鳄鱼。女孩从此也住在了桥下，随着时间的流逝，鳄鱼冷酷的心渐渐融化，一家四口过着贫穷却安宁的生活。只是，命运似乎从来不愿赐福于善良的人……
                                     
                                　　本片为韩国导演金基德的处女作。
                        "
id： film8005 - 魅力四射4一鼓作气 Bring It On In It to Win It,魅力四射4：一鼓作气 Bring It On: In It to Win It,6.6,参评人数： 2820,类型： 喜剧 运动,制片国家:  美国,语言:  英语,上映日期： 2007-12-12,片长： 90 分钟,又名:  美女啦啦队4 / 美少女啦啦队4,导演: 斯蒂夫·拉什,编剧: Alyson Fouse Elena Song,主演: 艾什莉·本森 / 卡茜·瑟波 / Noel Areizaga / 詹妮佛·提斯达尔 / 柯斯汀·科佩尔 / Anniese Taylor Dendy / 简·帕克·史密斯 / Lisa Glaze / 亚当·威尼尔 / 迈克尔·科彭 / 阿什丽·提斯代尔 / John Baker / David Bermejo / Justin Brown / Chris Cavallaro / Whitney Costner / Bryce DiCristofalo / Michael Thomas Dunn / Omar Elkalyoubie / Elle Fitzapak / Brittany Geragotelis / Alexandria Iona / Bjorn Jiskoot Jr. / Nathena Lewis / Mitchell Maggin / Tiffany Marshall / 艾伦·马克森 / Melody Mccraney / Jennifer Paige Moralez / Craig Myers / 汤姆·迈尔斯 / Katarina Noel / Erin O'Halloran / 杰里米·帕尔科 / Josh Petro,豆瓣链接：https://movie.douban.com/subject/2349928/,IMDb链接： https://www.imdb.com/title/tt0972785,"简介： 
                                　　南California 的West High Sharks高中的Carson决定使出浑身解数带领她团队里的姑娘们赢得全美拉拉队冠军，可是New Yorker 的brooke可不这么想，她比Carson还要坚定冠军属于她们，到底鹿死谁手我们拭目以待..
                        "
id： film8006 - 对学生会长的忠告OVA2 生徒会長に忠告 OVA2,对学生会长的忠告OVA2 生徒会長に忠告 OVA2,7.4,参评人数： 3036,类型： 动画,制片国家:  日本,语言:  日语,上映日期： 2010-04-30(日本),片长： 30分钟,又名:  学生会长请注意OVA2,导演: 川久保圭史,编剧: 小石川由宇,主演: 鸟海浩辅 / 杉田智和 / 岸尾大辅 / 子安武人,豆瓣链接：https://movie.douban.com/subject/6527289/,IMDb链接：,"简介： 
                                　　学生会长国齐（鸟海浩辅 配音）外表平凡，神经大条，经常遭色狼骚扰而不自知。被任命为新一任的学生会副会长的知贺（杉田智和 配音）为了保护国齐，便担任起“保镖”一职，护送会长上学放学。在这期间，知贺渐渐发现自己好像爱上了会长，他情不自禁吻了他，二人的关系从此发生变化。
                                     
                                　　与此同时，一个神秘的入侵者潜入国齐家里，对他进行性侵犯。知贺及时赶到，救了国齐。对于国齐的遭遇，知贺感到后悔莫及，怪自己没有好好保护他。惊魂未定的国齐却掩盖了一个羞于启齿的事实：他把神秘人的侵犯当成了知贺的爱抚。以后他将如何面对知贺……
                        "
id： film8007 - 吝啬罗曼史 쩨쩨한 로맨스,吝啬罗曼史 쩨쩨한 로맨스,6.3,参评人数： 3019,类型： 喜剧 爱情,制片国家:  韩国,语言:  韩语,上映日期： 2010-12-01,片长： 118分钟(韩国),又名:  Petty Romance / 談性不說愛？（台）,导演: 金郑勋,编剧: 李善均 崔江熙,类型:,豆瓣链接：https://movie.douban.com/subject/5250369/,IMDb链接： http://www.jjejjelove.co.kr https://www.imdb.com/title/tt1897945,"简介： 
                                　　政裴（李善均 饰）是一名专职漫画人，虽然在画技上有着不可比拟的天赋，但是在情节编排上的想象力匮乏让他的漫画屡屡遭到编辑的否定。一次偶然中，政裴得知了一个让他心动不已的消息——出版社以1亿3千万元的巨额奖金公开向社会征集优秀的成人漫画，看着对自己的编剧能力心知肚明的他知道，自己需要一个得力的合作人。
                                     
                                　　与此同时，成人杂志专栏作家多琳（崔江熙 饰）却刚刚因为自己过于丰富的想象力而惨遭解雇，急于寻找一份新的工作的她也被1亿3千万元的奖金吸引了。就这样，政裴和多琳两人一拍即合，开始了他们的合作历程。为了得到奖金，两人可谓不择手段，甚至不惜入住了同一屋檐下，在打打闹闹的生活中，两个年轻人之间也产生了奇妙的感情。
                        "
id： film8008 - 格林伯格 Greenberg,格林伯格 Greenberg,6.3,参评人数： 3121,类型： 剧情 喜剧,制片国家:  美国,语言:  英语,上映日期： 2010-02-14(柏林电影节) 2010-03-26(美国),片长： 107 分钟,又名:  谂多咗先生(港) / 爱上草食男(台),导演: 诺亚·鲍姆巴赫,编剧: 诺亚·鲍姆巴赫 詹妮弗·杰森·李,主演: 本·斯蒂勒 / 格蕾塔·葛韦格 / 瑞斯·伊凡斯 / 詹妮弗·杰森·李 / 朱诺·坦普尔 / 布丽·拉尔森 / 马克·杜普拉斯 / 克里斯·梅西纳 / 戴夫·弗兰科,豆瓣链接：https://movie.douban.com/subject/3077735/,IMDb链接： https://www.imdb.com/title/tt1234654,"简介： 
                                　　弗洛伦斯·马尔（格蕾塔·葛韦格 Greta Gerwig饰），一位低调的格林伯格家族私人女助理。罗杰·格林伯格（本·斯蒂勒 Ben Stiller饰），一位生活混乱又尖酸刻薄的格林伯格家族成员。本该四十而不惑的罗杰，正处在人生的十字路口，于是来到弟弟洛杉矶的居所度假放松。完全身处不同世界，性格也迥然各异的两人，就这样开始了一段看上去并不搭调的爱情生活。
                                     
                                　　由著名独立电影导演诺亚·鲍姆巴赫执导的喜剧影片《格林伯格》，入围2010年第60届柏林国际电影节金熊奖。
                        "
id： film8009 - 龙与虎OVA便当的精髓 とらドラ OVA 弁当の极意,龙与虎OVA：便当的精髓 とらドラ! OVA 弁当の极意,8.4,参评人数： 3234,类型： 爱情 动画,制片国家:  日本,语言:  日语,上映日期： 2011-12-21(日本),片长： 27分钟,又名:  龙X虎！OVA 便当的极意 / 龙虎斗！OVA 便当的精髓,导演: 长井龙雪,编剧: 冈田麿里,主演: 钉宫理惠 / 间岛淳司 / 堀江由衣 / 喜多村英梨 / 野岛裕史 / 大原沙耶香,豆瓣链接：https://movie.douban.com/subject/7564986/,IMDb链接： http://www.starchild.co.jp/special/toradora,"简介： 
                                　　番外3——那些为了中午便当的事
                        "
